DATA CAPTURED Sat Oct 21 02:24:49 2017
Time (ms),P1(0-1024),P2(0-1024),P3(0-1024),P4(0-1024),T1,T2
605543,296,297,297,294,0,0
605748,294,295,295,292,0,0
605952,292,292,292,289,0,0
606156,293,294,294,291,0,0
606360,296,297,297,293,0,0
606565,295,296,296,293,0,0
606769,292,293,292,290,0,0
606973,292,293,293,290,0,0
607177,295,296,296,293,0,0
607382,296,297,297,294,0,0
607586,293,294,294,291,0,0
DATA CAPTURED Sat Oct 21 02:30:28 2017
Time (ms),P1(0-1024),P2(0-1024),P3(0-1024),P4(0-1024),T1,T2
638632,291,292,291,289,0,0
638837,293,294,294,291,0,0
639041,295,297,297,293,0,0
639245,294,295,295,292,0,0
639450,291,292,291,289,0,0
639653,292,293,293,290,0,0
639858,295,296,296,293,0,0
640062,295,296,296,292,0,0
640267,292,293,292,290,0,0
640471,291,292,292,289,0,0
DATA CAPTURED Sat Oct 21 02:31:48 2017
Time (ms),P1(0-1024),P2(0-1024),P3(0-1024),P4(0-1024),T1,T2
718904,294,295,295,292,0,0
719109,291,292,291,289,0,0
719312,292,293,293,290,0,0
719517,295,296,296,293,0,0
719721,295,295,295,292,0,0
719926,292,292,292,289,0,0
720130,292,293,292,289,0,0
720334,295,296,296,293,0,0
720538,295,296,296,293,0,0
720743,292,293,293,290,0,0
720947,291,292,292,289,0,0
721152,294,295,295,292,0,0
721355,295,297,297,293,0,0
721560,293,294,294,291,0,0
721764,291,292,291,289,0,0
721968,293,294,294,291,0,0
722172,295,296,297,293,0,0
722376,294,295,294,291,0,0
722581,291,292,292,289,0,0
722785,293,294,294,291,0,0
722990,295,297,297,293,0,0
723193,295,296,296,293,0,0
723398,292,292,292,289,0,0
723602,292,293,293,290,0,0
723807,295,296,296,293,0,0
724011,295,296,296,293,0,0
724215,293,293,293,290,0,0
724419,291,292,292,289,0,0
724624,294,295,295,292,0,0
724828,295,297,297,293,0,0
725031,293,294,294,291,0,0
725236,291,292,292,289,0,0
725441,292,293,294,291,0,0
725645,293,293,293,290,0,0
725850,292,292,291,289,0,0
726053,290,290,290,287,0,0
726258,290,292,292,288,0,0
726462,294,295,296,292,0,0
726667,293,294,294,290,0,0
726871,291,291,291,288,0,0
727075,291,292,292,289,0,0
727279,293,295,296,293,0,0
727484,294,294,295,293,0,0
727688,292,292,291,289,0,0
727892,291,292,292,289,0,0
