Time (ms),T1(C),T2(C),P1(psi),P2(psi),P3(psi),P4(psi)
001583393,21.48,20.51,-43.84,0.12,-42.63,0.12
001583404,21.48,21.48,-47.50,0.07,-49.93,0.06
001583415,21.48,20.51,-45.67,0.11,-44.45,0.12
001583426,20.51,21.48,-44.45,0.12,-43.84,0.11
001583437,20.51,21.48,-47.50,0.07,-50.54,0.05
001583448,20.51,21.48,-44.45,0.12,-42.63,0.13
001583459,20.51,21.48,-44.45,0.12,-43.84,0.11
001583470,20.51,21.48,-47.50,0.07,-50.54,0.06
001583481,20.51,20.51,-45.06,0.11,-43.84,0.12
001583492,21.48,21.48,-45.06,0.11,-46.28,0.09
001583503,21.48,21.48,-47.50,0.07,-51.15,0.06
001583514,21.48,20.51,-45.06,0.11,-43.24,0.13
001583525,21.48,21.48,-45.06,0.11,-45.06,0.10
001583536,20.51,20.51,-47.50,0.08,-49.33,0.07
001583547,21.48,20.51,-44.45,0.12,-42.02,0.14
001583558,21.48,21.48,-45.06,0.11,-45.67,0.10
001583569,20.51,21.48,-47.50,0.07,-50.54,0.07
001583580,21.48,21.48,-43.84,0.12,-42.02,0.13
001583591,21.48,21.48,-45.67,0.09,-47.50,0.08
001583602,21.48,21.48,-47.50,0.08,-49.33,0.08
001583613,21.48,21.48,-44.45,0.12,-42.63,0.13
001583624,21.48,21.48,-45.67,0.10,-47.50,0.08
001583635,20.51,21.48,-47.50,0.08,-49.33,0.08
001583646,20.51,21.48,-43.84,0.13,-42.02,0.14
001583657,21.48,21.48,-45.67,0.10,-46.89,0.08
001583668,21.48,19.53,-46.89,0.09,-47.50,0.10
001583679,20.51,21.48,-44.45,0.12,-42.02,0.14
001583690,21.48,20.51,-46.28,0.09,-48.72,0.07
001583702,21.48,21.48,-47.50,0.08,-48.72,0.08
001583713,21.48,21.48,-44.45,0.12,-42.02,0.13
001583724,21.48,21.48,-46.28,0.09,-48.11,0.08
001583735,21.48,20.51,-47.50,0.08,-49.33,0.08
001583746,21.48,21.48,-43.84,0.13,-42.02,0.13
001583757,20.51,21.48,-46.28,0.09,-48.72,0.07
001583768,21.48,20.51,-47.50,0.08,-49.33,0.07
001583779,21.48,21.48,-43.84,0.12,-42.02,0.13
001583790,21.48,21.48,-46.28,0.09,-48.72,0.07
001583801,20.51,21.48,-46.89,0.09,-48.11,0.09
001583812,20.51,20.51,-43.84,0.13,-42.02,0.14
001583823,21.48,21.48,-46.28,0.09,-48.72,0.07
001583834,20.51,20.51,-46.89,0.09,-46.89,0.10
001583845,21.48,21.48,-43.84,0.13,-42.02,0.13
001583856,21.48,21.48,-46.89,0.08,-49.93,0.06
001583867,20.51,20.51,-46.89,0.09,-48.11,0.08
001583878,20.51,21.48,-44.45,0.12,-43.24,0.12
001583889,20.51,20.51,-46.89,0.08,-49.93,0.06
001583900,21.48,21.48,-46.28,0.10,-46.28,0.11
001583911,21.48,20.51,-43.84,0.13,-42.63,0.13
001583922,20.51,21.48,-47.50,0.08,-50.54,0.06
001583933,20.51,21.48,-46.28,0.10,-46.28,0.10
001583944,21.48,20.51,-43.84,0.12,-42.63,0.12
001583955,20.51,20.51,-47.50,0.07,-50.54,0.06
001583966,20.51,21.48,-45.67,0.11,-44.45,0.12
001583977,21.48,21.48,-43.84,0.12,-43.84,0.11
001583988,21.48,21.48,-47.50,0.08,-50.54,0.06
001584000,20.51,21.48,-45.67,0.10,-45.06,0.11
001584011,22.46,21.48,-43.84,0.12,-43.24,0.12
001584022,20.51,20.51,-47.50,0.08,-50.54,0.05
001584033,21.48,20.51,-45.67,0.10,-45.67,0.11
001584044,20.51,21.48,-45.06,0.12,-43.84,0.11
001584055,20.51,21.48,-47.50,0.08,-50.54,0.06
001584066,20.51,20.51,-45.67,0.11,-44.45,0.12
001584077,21.48,21.48,-44.45,0.12,-42.63,0.12
001584088,20.51,21.48,-47.50,0.08,-49.93,0.07
001584099,20.51,20.51,-45.67,0.11,-44.45,0.12
001584110,20.51,21.48,-43.84,0.12,-43.84,0.11
001584121,20.51,21.48,-47.50,0.07,-50.54,0.06
001584132,20.51,21.48,-45.06,0.12,-43.24,0.13
001584143,21.48,20.51,-44.45,0.12,-44.45,0.11
001584154,21.48,20.51,-47.50,0.07,-50.54,0.06
001584165,20.51,20.51,-45.06,0.11,-43.84,0.12
001584176,20.51,21.48,-45.06,0.10,-46.28,0.09
001584187,20.51,20.51,-47.50,0.07,-49.93,0.07
001584198,20.51,20.51,-45.06,0.12,-43.24,0.13
001584209,20.51,21.48,-45.06,0.11,-45.06,0.10
001584220,20.51,21.48,-47.50,0.08,-49.33,0.07
001584231,20.51,20.51,-44.45,0.12,-42.63,0.13
001584242,21.48,20.51,-45.67,0.10,-46.89,0.08
001584253,21.48,20.51,-47.50,0.07,-50.54,0.06
001584264,20.51,20.51,-44.45,0.12,-42.63,0.13
001584275,20.51,20.51,-45.67,0.10,-47.50,0.08
001584286,20.51,21.48,-48.11,0.08,-49.33,0.07
001584297,20.51,21.48,-44.45,0.12,-42.63,0.13
001584308,20.51,20.51,-46.28,0.09,-48.72,0.07
001584319,20.51,21.48,-47.50,0.08,-49.33,0.07
001584330,20.51,21.48,-43.84,0.12,-42.02,0.14
001584342,20.51,21.48,-45.67,0.09,-48.11,0.08
001584353,21.48,20.51,-47.50,0.08,-49.93,0.07
001584364,20.51,20.51,-44.45,0.12,-42.02,0.14
001584375,21.48,21.48,-45.67,0.09,-47.50,0.08
001584386,20.51,21.48,-47.50,0.08,-48.11,0.09
001584397,21.48,20.51,-43.84,0.13,-42.02,0.14
001584408,21.48,21.48,-46.28,0.09,-48.11,0.08
001584419,20.51,20.51,-47.50,0.08,-49.33,0.08
001584430,21.48,20.51,-43.84,0.13,-42.02,0.13
001584441,20.51,20.51,-46.28,0.09,-48.72,0.07
001584452,20.51,21.48,-47.50,0.08,-49.33,0.08
001584463,20.51,22.46,-43.84,0.12,-42.02,0.13
001584474,20.51,21.48,-46.89,0.09,-48.72,0.07
001584485,20.51,20.51,-46.89,0.09,-47.50,0.09
001584496,21.48,21.48,-43.84,0.13,-42.02,0.13
001584507,21.48,21.48,-46.28,0.09,-48.72,0.07
001584518,20.51,21.48,-46.28,0.10,-45.06,0.12
001584529,20.51,20.51,-43.84,0.13,-42.02,0.13
001584540,21.48,21.48,-46.89,0.08,-49.93,0.06
001584551,21.48,20.51,-46.28,0.09,-46.89,0.10
001584562,20.51,21.48,-43.84,0.12,-43.24,0.12
001584573,21.48,20.51,-46.89,0.08,-49.93,0.06
001584584,21.48,20.51,-46.28,0.10,-46.28,0.10
001584595,20.51,21.48,-43.84,0.12,-42.02,0.13
001584606,20.51,21.48,-47.50,0.07,-50.54,0.06
001584617,20.51,21.48,-45.67,0.10,-45.06,0.11
001584628,20.51,20.51,-43.84,0.12,-42.63,0.12
001584640,20.51,21.48,-47.50,0.07,-50.54,0.06
001584651,20.51,21.48,-45.67,0.10,-45.67,0.11
001584662,21.48,21.48,-43.84,0.13,-42.02,0.13
001584673,20.51,21.48,-46.89,0.08,-49.93,0.06
001584684,21.48,20.51,-46.28,0.10,-44.45,0.12
001584695,20.51,21.48,-44.45,0.12,-43.24,0.12
001584706,21.48,20.51,-47.50,0.07,-50.54,0.06
001584717,20.51,20.51,-45.67,0.10,-46.28,0.10
001584728,20.51,20.51,-44.45,0.11,-44.45,0.10
001584739,20.51,21.48,-47.50,0.07,-50.54,0.05
001584750,20.51,20.51,-45.67,0.11,-44.45,0.12
001584761,21.48,20.51,-43.84,0.12,-43.84,0.11
001584772,20.51,21.48,-47.50,0.07,-50.54,0.06
001584783,21.48,21.48,-45.06,0.11,-45.06,0.12
001584794,20.51,20.51,-44.45,0.12,-43.84,0.11
001584805,20.51,21.48,-47.50,0.07,-50.54,0.06
001584816,20.51,21.48,-44.45,0.12,-42.63,0.13
001584827,21.48,20.51,-45.06,0.11,-45.67,0.10
001584838,20.51,21.48,-47.50,0.07,-50.54,0.06
001584849,20.51,20.51,-45.06,0.11,-43.84,0.12
001584860,20.51,20.51,-45.06,0.10,-46.28,0.09
001584871,21.48,20.51,-47.50,0.07,-49.93,0.07
001584882,21.48,21.48,-44.45,0.12,-42.63,0.13
001584893,20.51,21.48,-44.45,0.11,-45.06,0.10
001584904,20.51,21.48,-47.50,0.08,-49.93,0.07
001584915,20.51,20.51,-44.45,0.12,-42.02,0.14
